# Result from Castor
# Rigid turbine, rated condition, no pre-bend and pre-sweep
# U_wind = 11.1682 m/s, omega = 0.7853 rad/s
#
# - r: section radius, m
# - Fn, Ft: lineic normal and tangential forces, N/m
########################################################################
radius,Fn,Ft
4.081446712457414,141.9414292361111,95.87016321944446
4.526385385547747,142.80668894444446,101.57993779444445
5.41287647979148,147.02832512499995,114.19703193194447
6.734173262545017,160.90913455555557,131.47365738888897
8.480219867631472,201.65772550000005,139.18322308333333
10.637727826125534,301.68629697222235,117.42548063888889
13.190277199574254,519.1748967361111,33.91193471805555
16.118441545985615,974.1457167777779,-131.70635824999997
19.39993576675026,1630.064716805556,-193.49901455555562
23.009785709281378,2262.7956181944446,-257.63800009722223
26.920518235915086,2856.47740513889,-323.38403997222224
31.102370310642524,3427.4014761111107,-361.84494320833335
35.523515514314894,3954.102451944444,-386.91806390277793
40.15030626213266,4441.435532916668,-409.30923593055536
44.9475298830101,4902.315569027778,-428.57210305555554
49.87867660841191,5345.667441944445,-440.39654247222234
54.90621743414586,5773.081758888888,-451.9872126527777
59.99188973905128,6200.087071527779,-461.22219102777774
65.09698848594873,6620.519445,-474.24339081944464
70.18266079085414,7036.4863275,-487.78966844444454
75.2102016165881,7445.468332083335,-502.5654067361112
80.1413483419899,7856.54260611111,-523.7417086388888
84.93857196286734,8294.238522638889,-557.6961423194447
89.56536271068511,8781.290118888883,-611.0466359722221
93.98650791435747,9257.278191944444,-671.9281258333335
98.16835998908492,9609.380616805553,-712.7073610833334
102.07909251571863,9733.248739305554,-716.6056520277775
105.68894245824974,9628.010063472222,-685.362932222222
108.97043667901438,9364.67268027777,-632.943296013889
111.89860102542575,8966.068816666666,-563.7201599305553
114.45115039887447,8438.074149444446,-478.4643865416666
116.60865835736853,7760.599265694447,-375.0092092500001
118.35470496245497,6873.176946944443,-249.862880236111
119.67600174520852,5710.3334475,-89.1868883347222
120.56249283945226,4187.228635277776,29.4577778388889
121.00743151254258,2794.7597899999996,99.02416476527777
