# Result from Aerodeep
# Rigid turbine, rated condition, no pre-bend and pre-sweep
# U_wind = 11.1682 m/s, omega = 0.7853 rad/s
#
# - r: section radius, m
# - Fn, Ft: lineic normal and tangential forces, N/m
########################################################################
radius,Fn,Ft
4.081446712457414,67.55009358333332,48.042528138888876
4.526385385547747,92.66334185972217,70.06574660555555
5.41287647979148,103.3271905555555,87.51162306944448
6.734173262545017,113.2079669861111,104.78310563472219
8.480219867631472,144.6389593194444,113.26558599583333
10.637727826125534,232.8522439027778,95.82829698194445
13.190277199574254,454.1942949583332,24.11550069444445
16.118441545985615,935.847298013889,-115.5827641527778
19.39993576675026,1718.846106944445,-276.3397849444444
23.009785709281378,2461.24463736111,-357.8528315277779
26.920518235915086,3044.962747222222,-395.4720867499999
31.102370310642524,3583.95267763889,-413.02776387500006
35.523515514314894,4046.9897395833323,-415.095832375
40.15030626213266,4475.1571090277785,-420.2761259583334
44.9475298830101,4898.465825277777,-429.8041628194444
49.87867660841191,5321.478192361111,-436.9592968194444
54.90621743414586,5726.9565225,-443.89892368055547
59.99188973905128,6151.520715138889,-453.06651068055555
65.09698848594873,6566.400629444444,-465.26439650000003
70.18266079085414,6979.334527499999,-478.5047602916668
75.2102016165881,7377.70501652778,-491.40119799999985
80.1413483419899,7770.204184722222,-509.04119702777774
84.93857196286734,8194.490355972222,-540.2736015972221
89.56536271068511,8715.912604305557,-600.2667021944446
93.98650791435747,9253.831800277776,-673.8894967777777
98.16835998908492,9658.532038055555,-726.0122182222223
102.07909251571863,9774.34774152778,-728.0046084444444
105.68894245824974,9617.696200277776,-685.5054626666667
108.97043667901438,9333.166089444443,-628.5605189722223
111.89860102542575,8938.02970097222,-559.940503763889
114.45115039887447,8459.19445722222,-483.63113044444435
116.60865835736853,7917.201191666665,-402.49049043055555
118.35470496245497,7320.066093333334,-318.2001804722221
119.67600174520852,6817.035512222223,-226.0689074166666
120.56249283945226,5824.677873888891,-123.94801666666672
121.00743151254258,4932.067232222221,-28.07620655833334
