radius	twist	chord	airfoil
3.97	0.2721762955707937	5.2	AF01
6.357753704536792	0.27205736171561723	5.208839941579524	AF02
8.745507409073586	0.2689698056252964	5.237887092263203	AF03
11.133261113610377	0.26090151424382807	5.293325313383697	AF04
13.52101481814717	0.2488569826252231	5.36733985481492	AF05
15.90876852268396	0.23382423192614574	5.452092684226667	AF06
18.29652222722075	0.216805139617496	5.540031728503847	AF07
20.68427593175755	0.19887278632240393	5.621824261194381	AF08
23.07202963629434	0.18100767932828996	5.692531175149338	AF09
25.45978334083113	0.16413076067279692	5.74261089072697	AF10
27.84753704536793	0.1492522184680202	5.764836827022541	AF11
30.23529074990471	0.1367143113540973	5.756119529852528	AF12
32.62304445444151	0.12551282194274888	5.70309851275065	AF13
35.010798158978304	0.11434749848233088	5.604676021602162	AF14
37.3985518635151	0.10356776280240738	5.471559126660524	AF15
39.78630556805188	0.0933068658568242	5.322778014171772	AF16
42.17405927258868	0.0837118194006672	5.16648228816705	AF17
44.56181297712547	0.07498970428955204	5.019421327310202	AF18
46.94956668166226	0.06714203432398387	4.885807888739599	AF19
49.33732038619906	0.06013256274855415	4.767959675121795	AF20
51.72507409073585	0.05370227852595093	4.654566079625438	AF21
54.112827795272636	0.047709665190988265	4.54103105171191	AF22
56.50058149980943	0.04210143739978707	4.42817557762473	AF23
58.88833520434623	0.03685595675838511	4.316958876583997	AF24
61.276088908883025	0.0319115381756527	4.207880735790049	AF25
63.66384261341982	0.027205903019809994	4.101646187027423	AF26
66.05159631795661	0.022731811675977428	3.998712335312356	AF27
68.43935002249339	0.01857776227358594	3.899408676051565	AF28
70.82710372703018	0.014720912664231815	3.803172543681295	AF29
73.21485743156698	0.011110140960669581	3.709389453654426	AF30
75.60261113610376	0.00762759323174886	3.617111741572532	AF31
77.99036484064057	0.004182800118533639	3.525634918177657	AF32
80.37811854517736	0.0006925062977488528	3.434082670567315	AF33
82.76587224971415	-0.0030164198099183366	3.341933111457596	AF34
85.15362595425094	-0.007104953189249701	3.248678447761413	AF35
87.54137965878775	-0.011874829529214339	3.156109679927359	AF36
89.92913336332452	-0.017440963696104015	3.064580004833834	AF37
92.31688706786133	-0.023047513564523472	2.972992647082487	AF38
94.70464077239812	-0.028331908141594756	2.880705106690617	AF39
97.0923944769349	-0.03288842847284285	2.786969376686517	AF40
99.48014818147172	-0.03641158408109318	2.691030938627057	AF41
101.86790188600848	-0.037768893627003246	2.591965555977676	AF42
104.2556555905453	-0.03797559234861603	2.489323647505217	AF43
106.6434092950821	-0.03761714725397999	2.383917231097341	AF44
109.0311629996189	-0.036702695029715245	2.275923816206998	AF45
111.4189167041557	-0.035227785335510846	2.165466732053696	AF46
113.8066704086924	-0.033104414148684154	2.052625082558482	AF47
116.1944241132292	-0.030095161935387568	1.937753326819164	AF48
118.5821778177661	-0.02632174877832449	1.819662967336163	AF49
120.9699315223028	-0.021683756060763535	0.4999999999999998	AF50
